id,name,documents_url,announcement_url,notices_url
dist-7-central-coll,Central District Collectorate,,,
dist-7-east-coll,East District Collectorate,https://dmeast.delhi.gov.in/documents/,,
dist-7-new_delhi-coll,New Delhi District Collectorate,https://dmnewdelhi.delhi.gov.in/documents/,,
dist-7-north-coll,North District Collectorate,https://dmnorth.delhi.gov.in/documents/,,
dist-7-north_east-coll,North East District Collectorate,https://dmnortheast.delhi.gov.in/documents/,,
dist-7-north_west-coll,North West District Collectorate,https://dmnorthwest.delhi.gov.in/documents/,,
dist-7-shahdara-coll,Shahdara District Collectorate,https://dmshahdara.delhi.gov.in/documents/,,
dist-7-south-coll,South District Collectorate,https://dmsouth.delhi.gov.in/documents/,,
dist-7-south_east-coll,South East District Collectorate,https://dmsoutheast.delhi.gov.in/documents/,,
dist-7-south_west-coll,South West District Collectorate,https://dmsouthwest.delhi.gov.in/documents/,,
dist-7-west-coll,West District Collectorate,,,
dist-30-north_goa-coll,North Goa District Collectorate,https://northgoa.gov.in/documents/,,
dist-30-south_goa-coll,South Goa District Collectorate,https://southgoa.nic.in/documents/,,
dist-24-ahmedabad-coll,Ahmedabad District Collectorate,https://ahmedabad.nic.in/documents/,,
dist-24-amreli-coll,Amreli District Collectorate,https://amreli.nic.in/documents/,,
dist-24-anand-coll,Anand District Collectorate,https://anand.nic.in/documents/,,
dist-24-arvalli-coll,Arvalli District Collectorate,https://arvalli.nic.in/documents/,,
dist-24-banas_kantha-coll,Banas Kantha District Collectorate,https://banaskantha.nic.in/documents/,https://banaskantha.nic.in/notice_category/announcement/,
dist-24-bharuch-coll,Bharuch District Collectorate,https://bharuch.nic.in/documents/,,
dist-24-bhavnagar-coll,Bhavnagar District Collectorate,https://bhavnagar.nic.in/documents/,,
dist-24-botad-coll,Botad District Collectorate,https://botad.nic.in/documents/,,
dist-24-chhotaudepur-coll,Chhotaudepur District Collectorate,https://chhotaudepur.nic.in/documents/,,
dist-24-dahod-coll,Dahod District Collectorate,https://dahod.gujarat.gov.in/documents/,https://dahod.gujarat.gov.in/notice_category/announcement/,https://dahod.gujarat.gov.in/notice_category/notices/
dist-24-dangs-coll,Dangs District Collectorate,https://dangs.nic.in/documents/,,
dist-24-devbhumi_dwarka-coll,Devbhumi Dwarka District Collectorate,https://devbhumidwarka.nic.in/documents/,,
dist-24-gandhinagar-coll,Gandhinagar District Collectorate,https://gandhinagar.nic.in/documents/,,
dist-24-gir_somnath-coll,Gir Somnath District Collectorate,https://girsomnath.gujarat.gov.in/documents/,https://girsomnath.gujarat.gov.in/notice_category/announcement/,https://girsomnath.gujarat.gov.in/notice_category/notices/
